検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
1268,受送・配電線路設備-ケーブル-非常高圧以外（電気室）_小石川技術区～小石川車両基地_丸ノ内線電機区,受送・配電線路設備-ケーブル-非常高圧以外（電気室）_小石川技術区～小石川車両基地_丸ノ内線電機区,2,小石川技術区～小石川車両基地,108,,,63,0,0,,0,,,NULL,,,0,1268,0,2023-09-02 02:52:11.937,214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,丸ノ内線,丸ノ内線,02_電力【電路】,01_受送・配電線路設備,02_ケーブル,03_非常高圧以外（電気室）,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,大平　浩二,検査表統一のため
5154,電車線路設備-支持物-カテナリ電車線-本線_西船橋構内Ｄ線_東西線電機区,電車線路設備-支持物-カテナリ電車線-本線_西船橋構内Ｄ線_東西線電機区,4,西船橋構内Ｄ線,164,,,63,0,0,,0,,,NULL,,,0,5154,0,2024-02-22 15:37:16.157,549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,東西線,東西線,02_電力【電路】,02_電車線路設備,08_支持物,02_カテナリ電車線,01_本線,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,鈴江　建,詳細追加
5189,電車線路設備-支持物-電架柱・ビーム・付属物_西船橋構内Ｃ線_東西線電機区,電車線路設備-支持物-電架柱・ビーム・付属物_西船橋構内Ｃ線_東西線電機区,4,西船橋構内Ｃ線,166,,,63,0,0,,0,,,NULL,,,0,5189,0,2024-02-22 15:40:37.713,549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,東西線,東西線,02_電力【電路】,02_電車線路設備,08_支持物,03_電架柱・ビーム・付属物,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,鈴江　建,詳細追加
7034,電車線路設備-帰線路-帰線ボンド-通路線・留置線・車両基地・橋梁部_霞ケ関留置線（８－９線含む）_千代田線電機区,電車線路設備-帰線路-帰線ボンド-通路線・留置線・車両基地・橋梁部_霞ケ関留置線（８－９線含む）_千代田線電機区,5,霞ケ関留置線（８－９線含む）,174,,,63,0,0,,0,,,NULL,,,0,7035,0,2023-07-25 13:39:54.263,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,千代田線,千代田線,02_電力【電路】,02_電車線路設備,10_帰線路,03_帰線ボンド,03_通路線・留置線・車両基地・橋梁部,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,新井　宏樹,設置場所名を変更した
7043,電車線路設備-帰線路-帰線ボンド-渡り線部_代々木上原渡り線_千代田線電機区,電車線路設備-帰線路-帰線ボンド-渡り線部_代々木上原渡り線_千代田線電機区,5,代々木上原渡り線,175,,,63,0,0,,0,,,NULL,,,0,7044,0,2023-07-25 13:59:33.940,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,千代田線,千代田線,02_電力【電路】,02_電車線路設備,10_帰線路,03_帰線ボンド,04_渡り線部,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,新井　宏樹,設置場所名を変更した
11469,電車線路設備-支持物-クリート・ちょう架設備・トラフ・防火区画_白金変電所下（Ａ線）_南北線電機区,電車線路設備-支持物-クリート・ちょう架設備・トラフ・防火区画_白金変電所下（Ａ線）_南北線電機区,8,白金変電所下（Ａ線）,167,,,63,0,0,,0,,,NULL,,,0,11469,0,2024-03-28 11:08:38.003,411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49,南北線,南北線,02_電力【電路】,02_電車線路設備,08_支持物,04_クリート・ちょう架設備・トラフ・防火区画,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,南　智久,検査区間細分化
12015,信号設備_浅草サテライト機器室（昼間）_銀座線信通区,信号設備_浅草サテライト機器室（昼間）_銀座線信通区,1,浅草サテライト機器室（昼間）,265,NULL,NULL,63,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,12015,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,NULL,NULL
12016,信号設備_浅草留置線・浅草～田原町（昼間）_銀座線信通区,信号設備_浅草留置線・浅草～田原町（昼間）_銀座線信通区,1,浅草留置線・浅草～田原町（昼間）,265,NULL,NULL,63,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,12016,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,NULL,NULL
12017,信号設備_田原町～稲荷町（昼間）_銀座線信通区,信号設備_田原町～稲荷町（昼間）_銀座線信通区,1,田原町～稲荷町（昼間）,265,NULL,NULL,63,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,12017,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,NULL,NULL
12018,信号設備_稲荷町～上野（昼間）_銀座線信通区,信号設備_稲荷町～上野（昼間）_銀座線信通区,1,稲荷町～上野（昼間）,265,NULL,NULL,63,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,12018,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367000,銀座線信通区,NULL,NULL,NULL
