検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
23720,2,信号設備_2か月_北綾瀬～綾瀬,NULL,2008/04/15,17961,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_北綾瀬～綾瀬_千代田線信通区,5,千代田線,北綾瀬～綾瀬,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23720,0,2023-04-01 00:00:00.000,1,NULL
23721,2,信号設備_2か月_綾瀬～北千住,NULL,2008/04/15,17962,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_綾瀬～北千住_千代田線信通区,5,千代田線,綾瀬～北千住,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23721,0,2023-04-01 00:00:00.000,1,NULL
23722,2,信号設備_2か月_北千住～町屋,NULL,2008/04/15,17963,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_北千住～町屋_千代田線信通区,5,千代田線,北千住～町屋,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23722,0,2023-04-01 00:00:00.000,1,NULL
23723,2,信号設備_2か月_町屋～西日暮里,NULL,2008/04/15,17964,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_町屋～西日暮里_千代田線信通区,5,千代田線,町屋～西日暮里,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23723,0,2023-04-01 00:00:00.000,1,NULL
23724,2,信号設備_2か月_西日暮里～千駄木,NULL,2008/04/15,17965,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_西日暮里～千駄木_千代田線信通区,5,千代田線,西日暮里～千駄木,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23724,0,2023-04-01 00:00:00.000,1,NULL
23725,2,信号設備_2か月_千駄木～根津,NULL,2008/03/15,17966,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_千駄木～根津_千代田線信通区,5,千代田線,千駄木～根津,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23725,0,2023-04-01 00:00:00.000,1,NULL
23726,2,信号設備_2か月_根津～湯島,NULL,2008/03/15,17967,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_根津～湯島_千代田線信通区,5,千代田線,根津～湯島,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23726,0,2023-04-01 00:00:00.000,1,NULL
23727,2,信号設備_2か月_湯島～新御茶ノ水,NULL,2008/03/15,17968,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_湯島～新御茶ノ水_千代田線信通区,5,千代田線,湯島～新御茶ノ水,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23727,0,2023-04-01 00:00:00.000,1,NULL
23728,2,信号設備_2か月_新御茶ノ水～大手町,NULL,2008/03/15,17969,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,奇数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_新御茶ノ水～大手町_千代田線信通区,5,千代田線,新御茶ノ水～大手町,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23728,0,2023-04-01 00:00:00.000,1,NULL
23729,2,信号設備_2か月_大手町～二重橋前,NULL,2008/04/15,17970,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,偶数月実施,NULL,1,0,NULL,NULL,0,NULL,信号設備_大手町～二重橋前_千代田線信通区,5,千代田線,大手町～二重橋前,67,鉄道本部電気部信通区,千代田線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,千代田線,NULL,NULL,NULL,23729,0,2023-04-01 00:00:00.000,1,NULL
